artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,genre,tags_humeur,tags_activité
Daft Punk,Technologic,0LSLM0zuWRkEYemF7JcfEE,51,0.000369,0.812,284280,0.516,1.09e-05,0.0991,-6.963,0.224,127.498,4/4,0.633,variété française,#energique,#dance/#fête
Francis Lalanne,J'ai 20 ans - Live,0MjFGzdI5aDMv3ZCTrp9NZ,7,0.266,0.505,325693,0.757,0.0,0.947,-5.791,0.0856,100.183,4/4,0.75,variété française,#joyeux,#dance/#fête
Hélène Ségara,L'envol - Il volo,0MjXnnscoFBS2FlcO3U0SS,26,0.194,0.492,265573,0.566,0.000751,0.0948,-8.452,0.0306,150.038,4/4,0.132,variété française,#triste,#sport/#cardio
Daft Punk,Da Funk,0MyY4WcN7DIfbSmp5yej5z,59,0.00196,0.806,328680,0.7,0.891,0.267,-5.269,0.0752,111.215,4/4,0.892,variété française,#joyeux,#dance/#fête
Manu Chao,EZLN...Para tod@s todo...,0OqGHZW05syPxtnlxcTeq5,37,0.341,0.581,101107,0.833,0.0653,0.951,-10.889,0.0832,76.012,4/4,0.745,variété française,#energique,#dance/#fête
Daniel Lavoie,Que cherche-t-elle,0Q5KW4FMPRyrTxFJ1oia3S,9,0.598,0.302,218227,0.576,0.0,0.887,-8.551,0.0391,159.809,4/4,0.2,variété française,#triste,#sport/#cardio
Daniel Lavoie,Icare,0RpNgcbK8Ehd9LCURi42gJ,5,0.848,0.506,405176,0.404,0.00281,0.1,-10.887,0.0346,92.049,4/4,0.253,variété française,#energique,#dance/#fête
Alain Chamfort,Adieu mon bébé chanteur,0TCuE3btejwV6EXbrxASwY,32,0.314,0.69,162746,0.904,0.0,0.166,-9.69,0.0302,130.299,4,0.981,variété française,#joyeux,#dance/#fête
Hélène Ségara,Et si tu n'existais pas,0Tf265JMp6POJkvIcYB6xT,42,0.0489,0.564,215133,0.731,0.000162,0.0863,-4.318,0.0288,97.97,4/4,0.153,variété française,#triste,#dance/#fête
Daft Punk,Around the World - Radio Edit,0TxMRiAvI1s0L821BJJWzx,53,0.00417,0.934,241467,0.76,0.906,0.0656,-5.549,0.148,121.302,4/4,0.864,variété française,#joyeux,#dance/#fête
Manu Chao,Por El Suelo,0UUYX85tfWbpyzzeWowDgO,39,0.0897,0.353,234907,0.9,4.36e-05,0.918,-6.237,0.192,80.232,4/4,0.573,variété française,#energique,#sport/#cardio
Hélène Ségara,Le procès,0VxJ9uvsOjEtrHedOK1H8n,25,0.621,0.383,90173,0.476,2.11e-05,0.24,-8.801,0.0333,171.009,3/4,0.125,variété française,#triste,#sport/#cardio
Louise Attaque,J't'emmène au vent,0Wr98MVkENZXddiLB3bPb0,64,0.252,0.567,184173,0.771,0.0,0.101,-5.577,0.0365,137.014,4/4,0.596,variété française,#energique,#dance/#fête
Daniel Lavoie,Ce monde sans issue,0YL1WqH5xSSxWHJprMwL64,5,0.791,0.634,288160,0.381,0.246,0.0868,-10.129,0.0276,78.396,4/4,0.507,variété française,#energique,#dance/#fête
Mylène Farmer,Un jour ou l'autre - Live 2019,0ZgPPFEG3n4zQW7HJjhQFV,22,0.714,0.2,297826,0.463,0.0151,0.967,-10.978,0.0378,154.608,4,0.197,variété française,#triste,#sport/#cardio
Indochine,Canary Bay,0aLADdbDBN76P01Q35h0zX,24,0.0144,0.598,321973,0.828,0.0102,0.0404,-10.22,0.0294,142.272,4,0.965,variété française,#joyeux,#dance/#fête
Indochine,Junior Song,0bN42EvqOVQSVDLpjnrYPU,22,0.393,0.627,189946,0.693,0.000358,0.0872,-8.539,0.0233,93.993,4,0.652,variété française,#energique,#dance/#fête
Pierre Perret,Humour liberté,0bRtoCdAu4ttzr03Zhlcel,32,0.761,0.53,201280,0.408,0.0,0.0704,-10.054,0.0407,88.901,4,0.837,variété française,#joyeux,#dance/#fête
Hélène Ségara,Il était une fois nous deux,0cEV8BRSsYjNdYseb313Wk,23,0.261,0.659,214867,0.765,0.0,0.111,-5.09,0.0314,123.024,4/4,0.573,variété française,#energique,#dance/#fête
Georges Brassens,La Mauvaise Herbe,0ci7mk5uToieLaI8V9Az7p,22,0.862,0.704,170160,0.199,0.0,0.351,-13.694,0.38,118.029,4/4,0.447,variété française,#energique,#dance/#fête
Daft Punk,Funk Ad,0cjavaamK4gxP9iZYw5I2X,37,0.00021,0.724,51400,0.783,0.49,0.295,-8.958,0.176,111.833,4/4,0.3,variété française,#energique,#dance/#fête
Daft Punk,Give Life Back to Music,0dEIca2nhcxDUV8C5QkPYb,63,0.00286,0.788,275387,0.616,0.549,0.0952,-10.671,0.0337,119.037,4/4,0.696,variété française,#energique,#dance/#fête
Daniel Lavoie,Je n'ai pas peur du noir,0g0Ydb4U29X1aftjgdrc3c,2,0.84,0.557,155840,0.224,0.0351,0.121,-12.348,0.0335,84.062,4/4,0.463,variété française,#energique,#dance/#fête
Francis Lalanne,Quand je chante - Live,0gMf3M9tUTBG6QY6mEJOwD,3,0.744,0.477,107933,0.0828,0.0,0.527,-20.658,0.31,79.899,3/4,0.305,variété française,#calme,#meditation/#yoga
Daft Punk,One More Time - Short Radio Edit,0ijhkvBpA7OBlY4clWSUZw,64,0.0348,0.648,235467,0.671,0.0,0.376,-8.49,0.104,122.891,4/4,0.533,variété française,#energique,#dance/#fête
Hélène Ségara,Phoebus,0jOf1NNWmHBgBjbzYh2ZaR,23,0.794,0.28,99373,0.242,0.0,0.6,-13.409,0.0372,171.24,4/4,0.19,variété française,#triste,#sport/#cardio
Daft Punk,Beyond,0k1xMUwn9sb7bZiqdT9ygx,57,0.367,0.716,290240,0.648,0.485,0.368,-11.33,0.0337,104.022,4/4,0.789,variété française,#joyeux,#dance/#fête
Georges Brassens,Je Me Suis Fait Tout Petit,0kW9E0TuO9Vk32gSWaRZpD,46,0.789,0.691,237000,0.164,3.44e-05,0.0999,-14.392,0.141,125.738,4/4,0.495,variété française,#energique,#dance/#fête
Étienne Daho,Week-end à Rome - 2014 Remastered,0l1TYKi4obpzywy5rQp1s3,24,0.188,0.744,252306,0.923,0.841,0.0468,-5.802,0.0448,118.905,4,0.96,variété française,#joyeux,#dance/#fête
Tryo,Récréaction,0lcK6TheN4lbUDHQyj0YYh,30,0.287,0.754,205026,0.642,0.0,0.112,-7.185,0.169,168.212,4,0.969,variété française,#joyeux,#dance/#fête
Étienne Daho,Les voyages immobiles - 2016 Remastered,0lioLc6KWs2zcbSG7rA7iR,26,0.244,0.428,187418,0.644,0.0199,0.246,-5.088,0.0263,90.179,4,0.134,variété française,#triste,#sport/#cardio
Indochine,Tes yeux noirs,0mHT1OoC481dAWaaMqlrx5,24,0.022,0.584,264973,0.89,5.32e-05,0.274,-3.904,0.0387,136.652,4,0.806,variété française,#joyeux,#dance/#fête
Daft Punk,"TRON Legacy (End Titles) - From ""TRON: Legacy""/Score",0mHayzmzEB485RkUCETcCL,50,1.62e-05,0.43,197827,0.829,0.879,0.358,-9.142,0.043,101.974,4/4,0.0406,variété française,#triste,#sport/#cardio
Hélène Ségara,Les oiseaux qu'on met en cage,0mL9O5R8vXIiwr9yiV0IPR,29,0.845,0.539,189667,0.331,1.01e-05,0.146,-9.411,0.0282,105.228,4/4,0.0831,variété française,#triste,#dance/#fête
Daniel Balavoine,Petite Angèle,0nCPzric3OZJEm1pvD54Mb,33,0.0519,0.585,281785,0.757,0.000923,0.096,-8.494,0.0312,139.769,4,0.829,variété française,#joyeux,#dance/#fête
Daft Punk,Giorgio by Moroder,0oks4FnzhNp5QPTZtoet7c,62,0.0692,0.74,544627,0.682,0.53,0.381,-10.42,0.0504,113.201,4/4,0.41,variété française,#energique,#dance/#fête
Lara Fabian,Je M’arrêterai Pas De T’aimer,0ou4bfIcE2qljCyu0fLuw5,28,0.917,0.297,163426,0.287,2.61e-06,0.267,-8.644,0.035,79.737,3,0.258,variété française,#energique,#meditation/#yoga
Daniel Lavoie,Ah! La vache,0pCImNCk4BnfaFAC1cpgOv,3,0.438,0.694,165240,0.656,3.53e-06,0.266,-8.99,0.33,161.347,4/4,0.962,variété française,#joyeux,#dance/#fête
Daniel Lavoie,Ta nouvelle maison,0qhGkE9mMEq47gd5NLmOsj,3,0.545,0.442,189147,0.298,0.0,0.123,-12.448,0.0303,79.711,4/4,0.371,variété française,#energique,#meditation/#yoga
Daft Punk,"Aerodynamic Beats / Gabrielle , Forget About The World",0rFTPTXuVFIOYGnqXbWm3X,46,0.0123,0.591,211760,0.789,0.826,0.403,-12.041,0.0707,127.028,4/4,0.396,variété française,#energique,#dance/#fête
Daft Punk,Recognizer,0sl4vCvb4kyAnTDGqN94pb,48,0.481,0.577,157707,0.539,0.575,0.108,-14.684,0.0404,103.993,4/4,0.0578,variété française,#triste,#dance/#fête
Hélène Ségara,Happy Birthday,0slf64WBbCdsSYtoJQtKSi,18,0.646,0.397,188467,0.38,7.89e-06,0.162,-8.469,0.0302,136.136,4/4,0.197,variété française,#triste,#sport/#cardio
Daniel Lavoie,Ceci est moi,0uAPhd8CadRRcXSL5PwGRh,15,0.527,0.595,291387,0.316,0.0,0.235,-13.334,0.0338,112.172,4/4,0.378,variété française,#energique,#dance/#fête
Daniel Lavoie,Soir tourmente / Le vieil Ossian,0usDMWyBO57hdoQOfrIEzf,3,0.693,0.443,334000,0.337,0.103,0.112,-10.095,0.0338,107.398,3/4,0.254,variété française,#energique,#concentration/#travail
Mylène Farmer,California,0w31zvTA5aSunSMeimCtYp,28,0.339,0.517,299000,0.731,9.03e-05,0.356,-8.618,0.135,169.206,4,0.549,variété française,#energique,#dance/#fête
Lara Fabian,J’ai Zappé,12KqBvoGGgLRMgYSSBtHln,25,0.215,0.519,305906,0.662,0.0,0.0878,-7.268,0.0379,91.581,4,0.282,variété française,#energique,#dance/#fête
Indochine,Popstitute,13IwfGCMr9gecyl16daFCy,26,0.0456,0.443,239973,0.942,3.05e-05,0.0656,-5.07,0.0569,135.988,4,0.48,variété française,#energique,#sport/#cardio
Indochine,Traffic Girl,13JNzte40R4o7Zqk0a8WqZ,30,0.0605,0.514,319533,0.905,0.00279,0.362,-6.988,0.041,120.034,4,0.286,variété française,#energique,#dance/#fête
Daniel Lavoie,Looking Out For You,15HFIN7lhwjK9g0wbtRcUC,1,0.358,0.679,236707,0.484,0.000268,0.124,-9.417,0.0363,119.69,4/4,0.46,variété française,#energique,#dance/#fête
Daft Punk,Aerodynamite,15WSNNQZRQDOrzuKYMyrDX,34,5.44e-05,0.566,468428,0.978,0.958,0.0297,-8.274,0.178,121.989,4/4,0.106,variété française,#triste,#dance/#fête
Manu Chao,Welcome to Tijuana,15boojE8lD9VfJku7h4rpB,53,0.51,0.642,244093,0.539,5.68e-05,0.0896,-9.164,0.0584,142.006,4/4,0.694,variété française,#energique,#dance/#fête
Daft Punk,Something About Us (Love Theme From Interstella 5555),17PwbYemqwgiOFg0boOFru,38,0.295,0.889,134933,0.423,0.449,0.084,-9.759,0.0456,99.935,4/4,0.81,variété française,#joyeux,#dance/#fête
Daniel Lavoie,Le sang,17TBogpuJBGZbLHGZeOMG8,2,0.802,0.583,477925,0.339,0.00223,0.108,-11.467,0.0301,100.119,4/4,0.274,variété française,#energique,#dance/#fête
Daft Punk,Superheroes,186hvCTyrni4KT9nwIQ7zS,54,0.00405,0.619,237800,0.739,0.00346,0.102,-8.204,0.0792,140.875,4/4,0.675,variété française,#energique,#dance/#fête
Lara Fabian,Love by Grace,1AdVqxJNhspyfmIswUrzlC,21,0.709,0.418,248493,0.377,0.0,0.0928,-8.771,0.0327,137.485,4,0.193,variété française,#triste,#sport/#cardio
Francis Lalanne,Si Tu Te Moques D'Un Mec Qui Pleure,1AyXoelFwXegavvJpbguZx,1,0.81,0.453,342160,0.0847,0.0,0.0808,-18.086,0.122,77.698,3/4,0.132,variété française,#triste,#meditation/#yoga
Indochine,Kissing My Song,1B1BylhpWOuG6NLKvw7fav,22,0.00115,0.42,244000,0.908,0.0953,0.138,-4.548,0.0299,80.439,4,0.868,variété française,#joyeux,#sport/#cardio
Raphaël,Peut-être a-t-il rêvé?,1BKl6JHciO3gjIjTzsG7hF,31,0.922,0.527,165080,0.378,4.12e-05,0.104,-8.863,0.0258,90.069,1,0.249,variété française,#triste,#dance/#fête
Daniel Lavoie,Quand je veux dormir,1CZ8BRP7dj5h0BIILAlhNf,2,0.803,0.634,157547,0.244,0.0,0.0827,-9.473,0.0263,95.989,4/4,0.238,variété française,#triste,#dance/#fête
Daft Punk,Television Rules The Nation / Crescendolls,1E8S3CSv20KrKT0C1yAjkO,51,6.53e-05,0.58,290840,0.786,0.207,0.461,-9.979,0.0675,126.004,4/4,0.558,variété française,#energique,#dance/#fête
Manu Chao,El viento,1FTP6uQPIugYxEg2jxwEKO,48,0.891,0.686,148840,0.364,0.000109,0.532,-12.239,0.0631,128.538,4/4,0.567,variété française,#energique,#dance/#fête
Stromae,tous les mêmes,1GC1MIaRMW3kfVK9VyD5Ii,55,0.208,0.676,210933,0.651,0.0026,0.278,-9.088,0.135,110.02,4/4,0.631,variété française,#energique,#dance/#fête
Manu Chao,Merry Blues,1GsVEQfNpSuDZdz1yntZQa,48,0.438,0.638,216067,0.877,0.00474,0.134,-8.208,0.252,164.039,4/4,0.894,variété française,#joyeux,#dance/#fête
Daft Punk,One More Time / Aerodynamic,1H1d4dr7Hk5Rrd8Tb5y5yr,50,0.038,0.45,370533,0.846,0.266,0.222,-9.996,0.102,124.239,4/4,0.414,variété française,#energique,#sport/#cardio
Daft Punk,Rectifier,1H36BBwHZuAWszr2EET29m,43,0.584,0.438,134053,0.191,0.864,0.121,-14.827,0.0373,66.006,4/4,0.0398,variété française,#triste,#meditation/#yoga
Daniel Lavoie,Parlez-nous de vous,1HluJxD10xjNOKYVLbmRCs,13,0.844,0.568,265493,0.232,4.46e-05,0.108,-13.933,0.0454,76.21,4/4,0.18,variété française,#triste,#dance/#fête
Indila,Mon fol amour,1I3rbQWAHJsToxBQQ8yMN9,43,0.102,0.577,246706,0.711,4.34e-05,0.043,-9.739,0.141,114.942,4,0.249,variété française,#triste,#dance/#fête
Daft Punk,Da Funk - Radio Edit,1IBxtCOTtdU9StLpNK6wZh,37,0.00332,0.795,229827,0.696,0.863,0.328,-5.829,0.0698,111.214,4/4,0.928,variété française,#joyeux,#dance/#fête
Daniel Lavoie,Je sens ma vie qui bascule,1JhiQfHCb6dS4sZw2S9rFS,0,0.757,0.411,22960,0.14,0.0,0.16,-19.753,0.0473,84.344,3/4,0.0986,variété française,#triste,#meditation/#yoga
Gérard Lenorman,"La ballade des gens heureux - Live à l'Olympia, 1975",1Kiidpd9HxHWIIiDKackZf,35,0.755,0.592,213840,0.436,0.0,0.712,-11.694,0.0578,124.063,4,0.657,variété française,#energique,#dance/#fête
Francis Cabrel,Saïd et Mohamed - Remastered,1LYaVPLp3W7cuGb3l2jCBq,34,0.756,0.542,230213,0.47,0.0,0.17,-10.024,0.035,137.411,4,0.454,variété française,#energique,#dance/#fête
Francis Lalanne,On Se Retrouvera,1MLKMv5W29K5E1JfeVloIl,36,0.624,0.64,155613,0.534,0.0,0.127,-5.595,0.0363,123.955,4/4,0.398,variété française,#energique,#dance/#fête
Indila,Tourner Dans Le Vide,1MqzIgGsHP4cNjPboevsfq,78,0.103,0.594,246093,0.698,0.0,0.173,-8.645,0.0428,119.991,4,0.376,variété française,#energique,#dance/#fête
Christophe,Aline,1N4ixxhbBH1ClnPdTTsRzz,52,0.431,0.274,169947,0.73,1.92e-05,0.325,-3.4,0.0332,178.656,3/4,0.519,variété française,#energique,#sport/#cardio
Daft Punk,Something About Us,1NeLwFETswx8Fzxl2AFl91,69,0.44,0.875,232667,0.475,0.72,0.046,-12.673,0.0986,99.958,4/4,0.384,variété française,#energique,#dance/#fête
Daft Punk,TRON Legacy (End Titles) - Remixed by Sander Kleinenberg,1Nv1h7ANN9E4rAjLP4OfgA,35,0.00289,0.708,304467,0.911,0.458,0.345,-4.186,0.0481,124.024,4/4,0.634,variété française,#energique,#dance/#fête
Daniel Lavoie,Florence - Live,1OBfOK0JGzpyEZh3svb61V,9,0.82,0.339,248133,0.271,3.95e-05,0.734,-14.297,0.0358,117.841,4/4,0.175,variété française,#triste,#sport/#cardio
Renaud,500 connards sur la ligne de départ,1OOeO3v4M8JJoHINVKU051,33,0.699,0.513,223733,0.83,0.0,0.363,-10.741,0.0426,161.961,4,0.923,variété française,#joyeux,#dance/#fête
Indochine,Stef II,1PFEO8wosfdmPQ4wUudF8z,23,0.00353,0.516,227333,0.85,0.00365,0.201,-5.099,0.0301,125.058,4,0.484,variété française,#energique,#dance/#fête
Daft Punk,Alive,1PH5Es89c1cENU8WVuWwbp,50,5.42e-05,0.723,316253,0.716,0.905,0.072,-6.407,0.0437,128.701,4/4,0.0748,variété française,#triste,#dance/#fête
Daft Punk,Sea of Simulation,1PslxzcBd8zj5X2ki7dJbI,23,0.0435,0.506,161533,0.652,0.813,0.212,-11.842,0.0341,113.687,4/4,0.0904,variété française,#triste,#dance/#fête
Stromae,Papaoutai,1QFw2xxyQtgKjlrMCEqsNj,57,0.022,0.731,232147,0.807,0.0,0.0632,-7.225,0.081,115.994,4/4,0.244,variété française,#triste,#dance/#fête
Manu Chao,La vecina del patio,1QiBPQAN77LWY9242aPVMn,47,0.315,0.725,251445,0.684,0.0211,0.143,-7.17,0.112,172.881,4/4,0.818,variété française,#joyeux,#dance/#fête
Daft Punk,Round One,1RuKXyCrzRxtSCbVQgLe7r,20,0.301,0.389,100920,0.372,0.642,0.104,-20.125,0.0378,108.077,4/4,0.0205,variété française,#triste,#concentration/#travail
Daft Punk,The Son of Flynn - Remixed by Ki:Theory,1TT6gRprLQ5vSWgoWpyKfR,39,0.0209,0.452,291507,0.956,0.721,0.163,-5.536,0.039,105.983,4/4,0.296,variété française,#energique,#sport/#cardio
Claude Nougaro,Armstrong,1V021MMTOGURDZxkDBMaG9,36,0.837,0.543,197573,0.275,0.0,0.168,-10.138,0.0368,106.992,1/4,0.338,variété française,#energique,#dance/#fête
Daniel Lavoie,Fidèle,1VfbNmnBLvlAPEcwJLMZoo,12,0.829,0.372,221667,0.273,6.26e-05,0.0811,-14.112,0.037,157.972,4/4,0.336,variété française,#energique,#sport/#cardio
Daniel Lavoie,En boule dans sa cachette (Le dinosaure),1WLywoC19EZYoG2PmFQWFD,2,0.838,0.605,131693,0.303,3.62e-05,0.0733,-12.212,0.0434,105.26,4/4,0.265,variété française,#energique,#dance/#fête
Manu Chao,Denia,1WSwO430vHpJyjvdEXgofU,48,0.344,0.656,279480,0.838,0.000271,0.679,-6.097,0.0339,120.0,4/4,0.7,variété française,#energique,#dance/#fête
Daft Punk,Make Love,1WnXCfO6oIxG0TbJj29MqR,47,0.783,0.697,289680,0.548,0.841,0.132,-9.087,0.0561,133.005,4/4,0.977,variété française,#joyeux,#dance/#fête
Daft Punk,Outlands,1YCO0AUl7FJyY0UsDIWUVo,45,0.818,0.571,162480,0.449,0.688,0.281,-16.077,0.0382,113.165,4/4,0.172,variété française,#triste,#dance/#fête
Daniel Lavoie,Hello Louise,1ZEO8YEqkf6Yo9w35jQ5MN,1,0.176,0.819,290667,0.524,0.000112,0.0396,-10.654,0.0385,120.211,4/4,0.869,variété française,#joyeux,#dance/#fête
Georges Brassens,Les passantes,1ZY6o8GQNTHubS9N1hxcZV,32,0.817,0.412,251840,0.288,0.00755,0.143,-12.988,0.0495,91.853,3/4,0.312,variété française,#energique,#meditation/#yoga
