Unnamed: 0,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,time_signature_clean,genre_group,artist_normalized,genre_simplifié,origine
,YFN Lucci,Everyday We Lit (feat. PnB Rock),4PzovBqgnSHKd8opsP7IVM,70,0.128,0.758,197171,0.646,0.0,G,0.0778,-4.701,Major,0.112,155.955,4/4,0.589,,à catégoriser,YFN Lucci,rap,remplacé_RAP_classique
,Drake,Final Fantasy,44Du2IM1bGY7dicmLfXbUs,70,0.422,0.5,219960,0.448,8.03e-06,C,0.115,-10.977,Major,0.442,144.204,1/4,0.104,,à catégoriser,Drake,rap,remplacé_RAP_classique
,Paris,Po'ed Up (feat. Gunna),6mdMz0aTPcP4xPz4DOsp0W,70,0.0258,0.753,163907,0.78,0.0,A,0.0694,-5.835,Major,0.0826,163.962,4/4,0.534,,à catégoriser,Paris,rap,remplacé_RAP_classique
,Breaking Benjamin,The Diary of Jane - Single Version,0faXHILILebCGnJBPU6KJJ,70,5.86e-05,0.391,200547,0.963,0.0689,A#,0.14,-4.378,Minor,0.0773,167.065,4/4,0.364,,à catégoriser,Breaking Benjamin,rap,remplacé_RAP_classique
,N.E.R.D,Lemon - Drake Remix,739vCwA3EpBSkk3uDsI2wB,70,0.000738,0.777,226107,0.657,3.34e-06,C#,0.0932,-6.434,Major,0.237,189.992,4/4,0.245,,à catégoriser,N.E.R.D,rap,remplacé_RAP_classique
,Lil Yachty,Who Want The Smoke?,3LR0t8XqZ1FUj6nj01sXN0,70,0.0732,0.899,198667,0.751,0.0,B,0.127,-4.063,Minor,0.311,140.029,4/4,0.636,,à catégoriser,Lil Yachty,rap,remplacé_RAP_classique
,Ne-Yo,Miss Independent,34ceTg8ChN5HjrqiIYCn9Q,70,0.522,0.673,232000,0.683,0.0,C#,0.235,-5.693,Major,0.115,171.86,4/4,0.713,,à catégoriser,Ne-Yo,rap,remplacé_RAP_classique
,Frank Ocean,Biking,2q0VexHJirnUPnEOhr2DxK,70,0.681,0.673,277521,0.463,4.9e-06,D,0.0907,-7.247,Major,0.191,147.981,4/4,0.268,,à catégoriser,Frank Ocean,rap,remplacé_RAP_classique
,Wiz Khalifa,So High (feat. Ghost Loft),0odHj0qIf86vHBsXB30IkZ,70,0.118,0.628,249288,0.629,0.0,F#,0.102,-4.829,Minor,0.0485,157.99,4/4,0.3,,à catégoriser,Wiz Khalifa,rap,remplacé_RAP_classique
,XXXTENTACION,Slipknot (feat. Kin$oul & Killstation),3QVIBuVrIe5IHOZepa7JBZ,70,0.47,0.448,209099,0.541,0.0,E,0.1,-11.34,Minor,0.397,81.92,4/4,0.237,,à catégoriser,XXXTENTACION,rap,remplacé_RAP_classique
,Ice Cube,You Know How We Do It - Remastered,2Ih217RCGAmyQR68Nn7Cqo,70,0.0977,0.747,232773,0.52,0.0537,A#,0.142,-10.523,Minor,0.0357,92.869,4/4,0.601,,à catégoriser,Ice Cube,rap,remplacé_RAP_classique
,Future,Astronauts,2vs5ubqg8QUbfyWZpMfvWe,70,0.0402,0.732,169920,0.586,2.66e-06,C#,0.121,-7.868,Major,0.232,76.48,4/4,0.73,,à catégoriser,Future,rap,remplacé_RAP_classique
,Drake,Crew Love,0V4l4GQhgnWQGtCWpvA7va,70,0.227,0.418,208813,0.546,0.0,C,0.229,-9.057,Minor,0.238,160.152,4/4,0.294,,à catégoriser,Drake,rap,remplacé_RAP_classique
,Eminem,Mockingbird,561jH07mF1jHuk7KlaeF0s,70,0.242,0.592,250760,0.678,0.0,E,0.182,-4.411,Minor,0.248,83.976,4/4,0.208,,à catégoriser,Eminem,rap,remplacé_RAP_classique
,blackbear,Weak When Ur Around,3UWkbO4emEOu9YUeOGq3vU,70,0.678,0.769,169500,0.323,0.0,D#,0.116,-12.887,Minor,0.0524,94.977,4/4,0.574,,à catégoriser,blackbear,rap,remplacé_RAP_classique
